"county_code1","county_name1","county_code2","county_name2","distance_km"
"110101","东城区","110101","东城区",0
"110102","西城区","110101","东城区",4.12289552185843
"110103","崇文区","110101","东城区",5.50382568621015
"110104","宣武区","110101","东城区",6.66730020710212
"110105","朝阳区","110101","东城区",8.78681282172327
"110106","丰台区","110101","东城区",17.9314805267065
"110107","石景山区","110101","东城区",20.6053811571748
"110108","海淀区","110101","东城区",19.0372055531282
"110109","门头沟区","110101","东城区",54.2446593637352
"110111","房山区","110101","东城区",53.3185088572714
"110112","通州区","110101","东城区",30.5095196394389
"110113","顺义区","110101","东城区",35.5165049500234
"110114","昌平区","110101","东城区",36.27399350009
"110224","大兴区","110101","东城区",31.1580067718773
"110226","平谷区","110101","东城区",69.1824269393522
"110227","怀柔区","110101","东城区",79.292290353042
"110228","密云县","110101","东城区",82.336207351236
"110229","延庆县","110101","东城区",71.1999255918338
"110101","东城区","110102","西城区",4.12289552185843
"110102","西城区","110102","西城区",0
"110103","崇文区","110102","西城区",7.0038665759668
"110104","宣武区","110102","西城区",4.96410866768765
"110105","朝阳区","110102","西城区",12.8085914263342
"110106","丰台区","110102","西城区",14.7796042571692
"110107","石景山区","110102","西城区",16.4833078643505
"110108","海淀区","110102","西城区",15.8009073596789
"110109","门头沟区","110102","西城区",50.1672358991504
"110111","房山区","110102","西城区",49.6297894879779
"110112","通州区","110102","西城区",34.2086380529825
"110113","顺义区","110102","西城区",38.6328031876284
"110114","昌平区","110102","西城区",34.4626007748598
"110224","大兴区","110102","西城区",31.4516578730449
"110226","平谷区","110102","西城区",72.8790857678912
"110227","怀柔区","110102","西城区",80.1330451931935
"110228","密云县","110102","西城区",84.8281309322392
"110229","延庆县","110102","西城区",70.0661604623458
"110101","东城区","110103","崇文区",5.50382568621015
"110102","西城区","110103","崇文区",7.0038665759668
"110103","崇文区","110103","崇文区",0
"110104","宣武区","110103","崇文区",4.70975508903249
"110105","朝阳区","110103","崇文区",11.3814554273575
"110106","丰台区","110103","崇文区",15.5889036505263
"110107","石景山区","110103","崇文区",21.6271959121491
"110108","海淀区","110103","崇文区",22.744425352245
"110109","门头沟区","110103","崇文区",55.5042983009604
"110111","房山区","110103","崇文区",51.3910177701702
"110112","通州区","110103","崇文区",28.1554042819175
"110113","顺义区","110103","崇文区",39.3344157170992
"110114","昌平区","110103","崇文区",41.2613629817116
"110224","大兴区","110103","崇文区",25.6579256193474
"110226","平谷区","110103","崇文区",71.6655448584895
"110227","怀柔区","110103","崇文区",84.6732670048639
"110228","密云县","110103","崇文区",86.7237501640335
"110229","延庆县","110103","崇文区",76.5216203187607
"110101","东城区","110104","宣武区",6.66730020710212
"110102","西城区","110104","宣武区",4.96410866768765
"110103","崇文区","110104","宣武区",4.70975508903249
"110104","宣武区","110104","宣武区",0
"110105","朝阳区","110104","宣武区",14.8459037845834
"110106","丰台区","110104","宣武区",11.5047008034283
"110107","石景山区","110104","宣武区",16.9925448575915
"110108","海淀区","110104","宣武区",19.3010669622731
"110109","门头沟区","110104","宣武区",50.8341269950616
"110111","房山区","110104","宣武区",47.2249549431315
"110112","通州区","110104","宣武区",32.784670460324
"110113","顺义区","110104","宣武区",42.162972555714
"110114","昌平区","110104","宣武区",38.9522534613132
"110224","大兴区","110104","宣武区",26.6114279392351
"110226","平谷区","110104","宣武区",75.447019541214
"110227","怀柔区","110104","宣武区",85.0360332685108
"110228","密云县","110104","宣武区",88.9699539803188
"110229","延庆县","110104","宣武区",74.7957920113728
"110101","东城区","110105","朝阳区",8.78681282172327
"110102","西城区","110105","朝阳区",12.8085914263342
"110103","崇文区","110105","朝阳区",11.3814554273575
"110104","宣武区","110105","朝阳区",14.8459037845834
"110105","朝阳区","110105","朝阳区",0
"110106","丰台区","110105","朝阳区",26.3499892130074
"110107","石景山区","110105","朝阳区",29.1398527798894
"110108","海淀区","110105","朝阳区",25.6166349082426
"110109","门头沟区","110105","朝阳区",62.396554496839
"110111","房山区","110105","朝阳区",61.9876938911996
"110112","通州区","110105","朝阳区",24.8516219242725
"110113","顺义区","110105","朝阳区",28.0299603488328
"110114","昌平区","110105","朝阳区",39.2837953957873
"110224","大兴区","110105","朝阳区",34.5044883210581
"110226","平谷区","110105","朝阳区",60.6019665753483
"110227","怀柔区","110105","朝阳区",75.8945590767824
"110228","密云县","110105","朝阳区",75.6628055602418
"110229","延庆县","110105","朝阳区",72.0688387616066
"110101","东城区","110106","丰台区",17.9314805267065
"110102","西城区","110106","丰台区",14.7796042571692
"110103","崇文区","110106","丰台区",15.5889036505263
"110104","宣武区","110106","丰台区",11.5047008034283
"110105","朝阳区","110106","丰台区",26.3499892130074
"110106","丰台区","110106","丰台区",0
"110107","石景山区","110106","丰台区",12.3968313238477
"110108","海淀区","110106","丰台区",21.2078478684556
"110109","门头沟区","110106","丰台区",43.1463798802045
"110111","房山区","110106","丰台区",35.8081164199512
"110112","通州区","110106","丰台区",41.710060233622
"110113","顺义区","110106","丰台区",53.3500100359705
"110114","昌平区","110106","丰台区",42.2864158023175
"110224","大兴区","110106","丰台区",25.4062286806837
"110226","平谷区","110106","丰台区",86.951632947612
"110227","怀柔区","110106","丰台区",93.0278528026633
"110228","密云县","110106","丰台区",99.5230593850255
"110229","延庆县","110106","丰台区",78.645391962702
